Date,District,Daily_Cases
2020-06-19,Number inward as at yesterday-10 am,492
2020-06-20,Number inward as at yesterday-10 am,490
2020-06-21,Number inward as at yesterday-10 am,467
2020-06-22,Number inward as at yesterday-10 am,441
2020-06-23,Number inward as at yesterday-10 am,413
2020-06-24,Number inward as at yesterday-10 am,392
2020-06-25,Number inward as at yesterday-10 am,418
2020-06-26,Number inward as at yesterday-10 am,388
2020-06-27,Number inward as at yesterday-10 am,380
2020-06-28,Number inward as at yesterday-10 am,364
2020-06-29,Number inward as at yesterday-10 am,361
2020-06-30,Number inward as at yesterday-10 am,348
2020-07-01,Number inward as at yesterday-10 am,320
2020-07-02,Number inward as at yesterday-10 am,288
2020-07-03,Number inward as at yesterday-10 am,216
2020-07-04,Number inward as at yesterday-10 am,192
2020-07-05,Number inward as at yesterday-10 am,173
2020-07-06,Number inward as at yesterday-10 am,160
2020-07-07,Number inward as at yesterday-10 am,148
2020-07-08,Number inward as at yesterday-10 am,111
2020-07-09,Number inward as at yesterday-10 am,103
2020-07-10,Number inward as at yesterday-10 am,104
2020-07-11,Number inward as at yesterday-10 am,359
2020-07-12,Number inward as at yesterday-10 am,463
2020-07-13,Number inward as at yesterday-10 am,519
2020-07-14,Number inward as at yesterday-10 am,625
2020-07-15,Number inward as at yesterday-10 am,647
2020-07-16,Number inward as at yesterday-10 am,653
2020-07-17,Number inward as at yesterday-10 am,656
2020-07-18,Number inward as at yesterday-10 am,664
2020-07-19,Number inward as at yesterday-10 am,663
2020-07-20,Number inward as at yesterday-10 am,658
2020-07-21,Number inward as at yesterday-10 am,672
2020-07-22,Number inward as at yesterday-10 am,671
2020-07-23,Number inward as at yesterday-10 am,655
2020-07-24,Number inward as at yesterday-10 am,664
2020-07-25,Number inward as at yesterday-10 am,648
2020-07-26,Number inward as at yesterday-10 am,650
2020-07-27,Number inward as at yesterday-10 am,653
2020-07-28,Number inward as at yesterday-10 am,650
2020-07-29,Number inward as at yesterday-10 am,498
2020-07-30,Number inward as at yesterday-10 am,482
2020-07-31,Number inward as at yesterday-10 am,467
2020-08-01,Number inward as at yesterday-10 am,412
2020-08-02,Number inward as at yesterday-10 am,365
2020-08-03,Number inward as at yesterday-10 am,290
2020-08-04,Number inward as at yesterday-10 am,295
2020-08-05,Number inward as at yesterday-10 am,293
2020-08-06,Number inward as at yesterday-10 am,286
2020-08-07,Number inward as at yesterday-10 am,287
2020-08-08,Number inward as at yesterday-10 am,264
2020-08-09,Number inward as at yesterday-10 am,252
2020-08-10,Number inward as at yesterday-10 am,251
2020-08-11,Number inward as at yesterday-10 am,240
2020-08-12,Number inward as at yesterday-10 am,238
2020-08-13,Number inward as at yesterday-10 am,231
2020-08-14,Number inward as at yesterday-10 am,224
2020-08-15,Number inward as at yesterday-10 am,213
2020-08-16,Number inward as at yesterday-10 am,209
2020-08-17,Number inward as at yesterday-10 am,209
2020-08-18,Number inward as at yesterday-10 am,206
2020-08-19,Number inward as at yesterday-10 am,134
2020-08-20,Number inward as at yesterday-10 am,131
2020-08-21,Number inward as at yesterday-10 am,126
2020-08-22,Number inward as at yesterday-10 am,118
2020-08-23,Number inward as at yesterday-10 am,132
2020-08-24,Number inward as at yesterday-10 am,130
2020-08-25,Number inward as at yesterday-10 am,130
2020-08-26,Number inward as at yesterday-10 am,131
2020-08-27,Number inward as at yesterday-10 am,140
2020-08-28,Number inward as at yesterday-10 am,142
2020-08-29,Number inward as at yesterday-10 am,132
2020-08-30,Number inward as at yesterday-10 am,128
2020-08-31,Number inward as at yesterday-10 am,123
2020-09-01,Number inward as at yesterday-10 am,132
2020-09-02,Number inward as at yesterday-10 am,180
2020-09-03,Number inward as at yesterday-10 am,197
2020-09-04,Number inward as at yesterday-10 am,200
2020-09-05,Number inward as at yesterday-10 am,192
2020-09-06,Number inward as at yesterday-10 am,185
2020-09-07,Number inward as at yesterday-10 am,184
2020-09-08,Number inward as at yesterday-10 am,185
2020-09-09,Number inward as at yesterday-10 am,176
2020-09-10,Number inward as at yesterday-10 am,182
2020-09-11,Number inward as at yesterday-10 am,180
2020-09-12,Number inward as at yesterday-10 am,174
2020-09-13,Number inward as at yesterday-10 am,174
2020-09-14,Number inward as at yesterday-10 am,187
2020-09-15,Number inward as at yesterday-10 am,217
2020-09-16,Number inward as at yesterday-10 am,234
2020-09-17,Number inward as at yesterday-10 am,237
2020-09-18,Number inward as at yesterday-10 am,215
2020-09-19,Number inward as at yesterday-10 am,203
2020-09-20,Number inward as at yesterday-10 am,198
2020-09-21,Number inward as at yesterday-10 am,182
2020-09-22,Number inward as at yesterday-10 am,174
2020-09-23,Number inward as at yesterday-10 am,168
2020-09-24,Number inward as at yesterday-10 am,171
2020-09-25,Number inward as at yesterday-10 am,169
2020-09-26,Number inward as at yesterday-10 am,162
2020-09-27,Number inward as at yesterday-10 am,146
2020-09-28,Number inward as at yesterday-10 am,128
2020-09-29,Number inward as at yesterday-10 am,137
2020-09-30,Number inward as at yesterday-10 am,120
2020-10-01,Number inward as at yesterday-10 am,131
2020-10-02,Number inward as at yesterday-10 am,134
2020-10-03,Number inward as at yesterday-10 am,124
2020-10-04,Number inward as at yesterday-10 am,121
2020-10-05,Number inward as at yesterday-10 am,125
2020-10-06,Number inward as at yesterday-10 am,199
2020-10-07,Number inward as at yesterday-10 am,454
2020-10-08,Number inward as at yesterday-10 am,965
2020-10-09,Number inward as at yesterday-10 am,1168
2020-10-10,Number inward as at yesterday-10 am,1179
2020-10-11,Number inward as at yesterday-10 am,1204
2020-10-12,Number inward as at yesterday-10 am,1308
2020-10-13,Number inward as at yesterday-10 am,1422
2020-10-14,Number inward as at yesterday-10 am,1503
2020-10-15,Number inward as at yesterday-10 am,1668
2020-10-16,Number inward as at yesterday-10 am,1777
2020-10-17,Number inward as at yesterday-10 am,1846
2020-10-18,Number inward as at yesterday-10 am,1946
2020-10-19,Number inward as at yesterday-10 am,2059
2020-10-20,Number inward as at yesterday-10 am,2132
2020-10-21,Number inward as at yesterday-10 am,2215
2020-10-22,Number inward as at yesterday-10 am,2297
2020-10-23,Number inward as at yesterday-10 am,2404
2020-10-24,Number inward as at yesterday-10 am,2629
2020-10-25,Number inward as at yesterday-10 am,3424
2020-10-26,Number inward as at yesterday-10 am,3703
2020-10-27,Number inward as at yesterday-10 am,3923
2020-10-28,Number inward as at yesterday-10 am,4354
2020-10-29,Number inward as at yesterday-10 am,4776
2020-10-30,Number inward as at yesterday-10 am,5044
2020-10-31,Number inward as at yesterday-10 am,5490
2020-11-01,Number inward as at yesterday-10 am,6005
2020-11-02,Number inward as at yesterday-10 am,5738
2020-11-03,Number inward as at yesterday-10 am,5790
2020-11-04,Number inward as at yesterday-10 am,5733
2020-11-05,Number inward as at yesterday-10 am,5863
2020-11-06,Number inward as at yesterday-10 am,5540
2020-11-07,Number inward as at yesterday-10 am,5355
2020-11-08,Number inward as at yesterday-10 am,5217
2020-11-09,Number inward as at yesterday-10 am,5100
2020-11-10,Number inward as at yesterday-10 am,5014
2020-11-11,Number inward as at yesterday-10 am,4712
2020-11-12,Number inward as at yesterday-10 am,4491
2020-11-13,Number inward as at yesterday-10 am,4651
2020-11-14,Number inward as at yesterday-10 am,4644
2020-11-15,Number inward as at yesterday-10 am,4814
2020-11-16,Number inward as at yesterday-10 am,5035
2020-11-17,Number inward as at yesterday-10 am,5423
2020-11-18,Number inward as at yesterday-10 am,5403
2020-11-19,Number inward as at yesterday-10 am,5422
2020-11-20,Number inward as at yesterday-10 am,5430
2020-11-21,Number inward as at yesterday-10 am,5497
2020-11-22,Number inward as at yesterday-10 am,5616
2020-11-23,Number inward as at yesterday-10 am,5619
2020-11-24,Number inward as at yesterday-10 am,5587
2020-11-25,Number inward as at yesterday-10 am,5456
2020-11-26,Number inward as at yesterday-10 am,5426
2020-11-27,Number inward as at yesterday-10 am,5557
2020-11-28,Number inward as at yesterday-10 am,5703
2020-11-29,Number inward as at yesterday-10 am,5738
2020-11-30,Number inward as at yesterday-10 am,5877
2020-12-01,Number inward as at yesterday-10 am,5808
2020-12-02,Number inward as at yesterday-10 am,6052
2020-12-03,Number inward as at yesterday-10 am,6106
2020-12-04,Number inward as at yesterday-10 am,6254
2020-12-05,Number inward as at yesterday-10 am,6471
2020-12-06,Number inward as at yesterday-10 am,6339
2020-12-07,Number inward as at yesterday-10 am,6631
2020-12-08,Number inward as at yesterday-10 am,6933
2020-12-09,Number inward as at yesterday-10 am,7180
2020-12-10,Number inward as at yesterday-10 am,7436
2020-12-11,Number inward as at yesterday-10 am,7670
2020-12-12,Number inward as at yesterday-10 am,7636
2020-12-13,Number inward as at yesterday-10 am,7924
2020-12-14,Number inward as at yesterday-10 am,8193
2020-12-15,Number inward as at yesterday-10 am,8329
2020-12-16,Number inward as at yesterday-10 am,8457
2020-12-17,Number inward as at yesterday-10 am,8312
2020-12-18,Number inward as at yesterday-10 am,8224
2020-12-19,Number inward as at yesterday-10 am,8166
2020-12-20,Number inward as at yesterday-10 am,8332
2020-12-21,Number inward as at yesterday-10 am,8229
2020-12-22,Number inward as at yesterday-10 am,8403
2020-12-23,Number inward as at yesterday-10 am,8150
2020-12-24,Number inward as at yesterday-10 am,7994
2020-12-25,Number inward as at yesterday-10 am,7887
2020-12-26,Number inward as at yesterday-10 am,7707
2020-12-27,Number inward as at yesterday-10 am,7545
2020-12-28,Number inward as at yesterday-10 am,7492
2020-12-29,Number inward as at yesterday-10 am,7642
2020-12-30,Number inward as at yesterday-10 am,7484
2020-12-31,Number inward as at yesterday-10 am,7245
2021-01-01,Number inward as at yesterday-10 am,7174
2021-01-02,Number inward as at yesterday-10 am,6940
2021-01-03,Number inward as at yesterday-10 am,6931
2021-01-04,Number inward as at yesterday-10 am,6908
2021-01-05,Number inward as at yesterday-10 am,6744
2021-01-06,Number inward as at yesterday-10 am,6765
2021-01-07,Number inward as at yesterday-10 am,6486
2021-01-08,Number inward as at yesterday-10 am,6368
2021-01-09,Number inward as at yesterday-10 am,6241
2021-01-10,Number inward as at yesterday-10 am,6242
2021-01-11,Number inward as at yesterday-10 am,6286
2021-01-12,Number inward as at yesterday-10 am,6057
2021-01-13,Number inward as at yesterday-10 am,6088
2021-01-14,Number inward as at yesterday-10 am,6026
2021-01-15,Number inward as at yesterday-10 am,6235
2021-01-16,Number inward as at yesterday-10 am,6389
2021-01-17,Number inward as at yesterday-10 am,6593
2021-01-18,Number inward as at yesterday-10 am,6886
2021-01-19,Number inward as at yesterday-10 am,6992
2021-01-20,Number inward as at yesterday-10 am,6886
2021-01-21,Number inward as at yesterday-10 am,6931
2021-01-22,Number inward as at yesterday-10 am,6931
2021-01-23,Number inward as at yesterday-10 am,7183
2021-01-24,Number inward as at yesterday-10 am,7324
2021-01-25,Number inward as at yesterday-10 am,7623
2021-01-26,Number inward as at yesterday-10 am,7810
2021-01-27,Number inward as at yesterday-10 am,7834
2021-01-28,Number inward as at yesterday-10 am,7068
2021-01-29,Number inward as at yesterday-10 am,5969
2021-01-30,Number inward as at yesterday-10 am,5891
2021-01-31,Number inward as at yesterday-10 am,5863
2021-02-01,Number inward as at yesterday-10 am,5821
2021-02-02,Number inward as at yesterday-10 am,5766
2021-02-03,Number inward as at yesterday-10 am,5617
2021-02-04,Number inward as at yesterday-10 am,5487
2021-02-05,Number inward as at yesterday-10 am,5510
2021-02-06,Number inward as at yesterday-10 am,5315
2021-02-07,Number inward as at yesterday-10 am,4913
2021-02-08,Number inward as at yesterday-10 am,4824
2021-02-09,Number inward as at yesterday-10 am,4851
2021-02-10,Number inward as at yesterday-10 am,4817
2021-02-11,Number inward as at yesterday-10 am,5197
2021-02-12,Number inward as at yesterday-10 am,5588
2021-02-13,Number inward as at yesterday-10 am,5753
2021-02-14,Number inward as at yesterday-10 am,5841
2021-02-15,Number inward as at yesterday-10 am,5766
2021-02-16,Number inward as at yesterday-10 am,5846
2021-02-17,Number inward as at yesterday-10 am,5596
2021-02-18,Number inward as at yesterday-10 am,5599
2021-02-19,Number inward as at yesterday-10 am,5661
2021-02-20,Number inward as at yesterday-10 am,5424
2021-02-21,Number inward as at yesterday-10 am,5048
2021-02-22,Number inward as at yesterday-10 am,4746
2021-02-23,Number inward as at yesterday-10 am,4444
2021-02-24,Number inward as at yesterday-10 am,4225
2021-02-25,Number inward as at yesterday-10 am,4042
2021-02-26,Number inward as at yesterday-10 am,4049
2021-02-27,Number inward as at yesterday-10 am,3849
2021-02-28,Number inward as at yesterday-10 am,3593
2021-03-01,Number inward as at yesterday-10 am,3479
2021-03-02,Number inward as at yesterday-10 am,3349
2021-03-03,Number inward as at yesterday-10 am,3056
2021-03-04,Number inward as at yesterday-10 am,2950
2021-03-05,Number inward as at yesterday-10 am,2906
2021-03-06,Number inward as at yesterday-10 am,2800
2021-03-07,Number inward as at yesterday-10 am,2698
2021-03-08,Number inward as at yesterday-10 am,2780
2021-03-09,Number inward as at yesterday-10 am,2680
2021-03-10,Number inward as at yesterday-10 am,2779
2021-03-11,Number inward as at yesterday-10 am,2622
2021-03-12,Number inward as at yesterday-10 am,2609
2021-03-13,Number inward as at yesterday-10 am,2511
2021-03-14,Number inward as at yesterday-10 am,2508
2021-03-15,Number inward as at yesterday-10 am,2426
2021-03-16,Number inward as at yesterday-10 am,2411
2021-03-17,Number inward as at yesterday-10 am,2335
2021-03-18,Number inward as at yesterday-10 am,2265
2021-03-19,Number inward as at yesterday-10 am,2381
2021-03-20,Number inward as at yesterday-10 am,2410
2021-03-21,Number inward as at yesterday-10 am,2487
2021-03-22,Number inward as at yesterday-10 am,2542
2021-03-23,Number inward as at yesterday-10 am,2596
2021-03-24,Number inward as at yesterday-10 am,2657
2021-03-25,Number inward as at yesterday-10 am,2583
2021-03-26,Number inward as at yesterday-10 am,2583
2021-03-27,Number inward as at yesterday-10 am,2587
2021-03-28,Number inward as at yesterday-10 am,2615
2021-03-29,Number inward as at yesterday-10 am,2657
2021-03-30,Number inward as at yesterday-10 am,2613
2021-03-31,Number inward as at yesterday-10 am,2647
2021-04-01,Number inward as at yesterday-10 am,2625
2021-04-02,Number inward as at yesterday-10 am,2731
2021-04-03,Number inward as at yesterday-10 am,2645
2021-04-04,Number inward as at yesterday-10 am,2532
2021-04-05,Number inward as at yesterday-10 am,2508
2021-04-06,Number inward as at yesterday-10 am,2292
2021-04-07,Number inward as at yesterday-10 am,2301
2021-04-08,Number inward as at yesterday-10 am,2267
2021-04-09,Number inward as at yesterday-10 am,2358
2021-04-10,Number inward as at yesterday-10 am,2471
2021-04-11,Number inward as at yesterday-10 am,2513
2021-04-12,Number inward as at yesterday-10 am,2621
2021-04-13,Number inward as at yesterday-10 am,2758
2021-04-14,Number inward as at yesterday-10 am,2866
2021-04-15,Number inward as at yesterday-10 am,2867
2021-04-16,Number inward as at yesterday-10 am,2825
2021-04-17,Number inward as at yesterday-10 am,2730
2021-04-18,Number inward as at yesterday-10 am,2739
2021-04-19,Number inward as at yesterday-10 am,2709
2021-04-20,Number inward as at yesterday-10 am,2804
2021-04-21,Number inward as at yesterday-10 am,2938
2021-04-22,Number inward as at yesterday-10 am,3179
2021-04-23,Number inward as at yesterday-10 am,3537
2021-04-24,Number inward as at yesterday-10 am,4053
2021-04-25,Number inward as at yesterday-10 am,4898
2021-04-26,Number inward as at yesterday-10 am,5633
2021-04-27,Number inward as at yesterday-10 am,6158
2021-04-28,Number inward as at yesterday-10 am,6873
2021-04-29,Number inward as at yesterday-10 am,7749
2021-04-30,Number inward as at yesterday-10 am,8847
2021-05-01,Number inward as at yesterday-10 am,9842
2021-05-02,Number inward as at yesterday-10 am,10990
2021-05-03,Number inward as at yesterday-10 am,11933
2021-05-04,Number inward as at yesterday-10 am,12848
2021-05-05,Number inward as at yesterday-10 am,13814
2021-05-06,Number inward as at yesterday-10 am,14795
2021-05-07,Number inward as at yesterday-10 am,15910
2021-05-08,Number inward as at yesterday-10 am,16916
2021-05-09,Number inward as at yesterday-10 am,17476
2021-05-10,Number inward as at yesterday-10 am,17985
2021-05-11,Number inward as at yesterday-10 am,19494
2021-05-12,Number inward as at yesterday-10 am,21062
2021-05-13,Number inward as at yesterday-10 am,22591
2021-05-14,Number inward as at yesterday-10 am,23857
2021-05-15,Number inward as at yesterday-10 am,19036
2021-05-16,Number inward as at yesterday-10 am,19944
2021-05-17,Number inward as at yesterday-10 am,21208
2021-05-18,Number inward as at yesterday-10 am,22155
2020-04-01,COVID 19 Positive - last 24H,21
2020-04-02,COVID 19 Positive - last 24H,5
2020-04-03,COVID 19 Positive - last 24H,3
2020-04-04,COVID 19 Positive - last 24H,8
2020-04-05,COVID 19 Positive - last 24H,7
2020-04-06,COVID 19 Positive - last 24H,10
2020-04-07,COVID 19 Positive - last 24H,4
2020-04-08,COVID 19 Positive - last 24H,6
2020-04-09,COVID 19 Positive - last 24H,3
2020-04-10,COVID 19 Positive - last 24H,1
2020-04-11,COVID 19 Positive - last 24H,7
2020-04-12,COVID 19 Positive - last 24H,2
2020-04-13,COVID 19 Positive - last 24H,11
2020-04-14,COVID 19 Positive - last 24H,8
2020-04-15,COVID 19 Positive - last 24H,15
2020-04-16,COVID 19 Positive - last 24H,5
2020-04-17,COVID 19 Positive - last 24H,0
2020-04-18,COVID 19 Positive - last 24H,6
2020-04-19,COVID 19 Positive - last 24H,10
2020-04-20,COVID 19 Positive - last 24H,17
2020-04-21,COVID 19 Positive - last 24H,33
2020-04-22,COVID 19 Positive - last 24H,6
2020-04-23,COVID 19 Positive - last 24H,20
2020-04-24,COVID 19 Positive - last 24H,38
2020-04-25,COVID 19 Positive - last 24H,52
2020-04-26,COVID 19 Positive - last 24H,40
2020-04-27,COVID 19 Positive - last 24H,63
2020-04-28,COVID 19 Positive - last 24H,65
2020-04-29,COVID 19 Positive - last 24H,31
2020-04-30,COVID 19 Positive - last 24H,30
2020-05-01,COVID 19 Positive - last 24H,16
2020-05-02,COVID 19 Positive - last 24H,25
2020-05-03,COVID 19 Positive - last 24H,15
2020-05-04,COVID 19 Positive - last 24H,13
2020-05-05,COVID 19 Positive - last 24H,37
2020-05-06,COVID 19 Positive - last 24H,16
2020-05-07,COVID 19 Positive - last 24H,29
2020-05-08,COVID 19 Positive - last 24H,27
2020-05-09,COVID 19 Positive - last 24H,11
2020-05-10,COVID 19 Positive - last 24H,12
2020-05-11,COVID 19 Positive - last 24H,16
2020-05-12,COVID 19 Positive - last 24H,6
2020-05-13,COVID 19 Positive - last 24H,20
2020-05-14,COVID 19 Positive - last 24H,26
2020-05-15,COVID 19 Positive - last 24H,10
2020-05-16,COVID 19 Positive - last 24H,10
2020-05-17,COVID 19 Positive - last 24H,25
2020-05-18,COVID 19 Positive - last 24H,21
2020-05-19,COVID 19 Positive - last 24H,11
2020-05-20,COVID 19 Positive - last 24H,35
2020-05-21,COVID 19 Positive - last 24H,1
2020-05-22,COVID 19 Positive - last 24H,27
2020-05-23,COVID 19 Positive - last 24H,13
2020-05-24,COVID 19 Positive - last 24H,21
2020-05-25,COVID 19 Positive - last 24H,52
2020-05-26,COVID 19 Positive - last 24H,41
2020-05-27,COVID 19 Positive - last 24H,137
2020-05-28,COVID 19 Positive - last 24H,150
2020-05-29,COVID 19 Positive - last 24H,61
2020-05-30,COVID 19 Positive - last 24H,28
2020-05-31,COVID 19 Positive - last 24H,62
2020-06-01,COVID 19 Positive - last 24H,13
2020-06-02,COVID 19 Positive - last 24H,10
2020-06-03,COVID 19 Positive - last 24H,40
2020-06-04,COVID 19 Positive - last 24H,66
2020-06-05,COVID 19 Positive - last 24H,48
2020-06-06,COVID 19 Positive - last 24H,4
2020-06-07,COVID 19 Positive - last 24H,13
2020-06-08,COVID 19 Positive - last 24H,21
2020-06-09,COVID 19 Positive - last 24H,22
2020-06-10,COVID 19 Positive - last 24H,2
2020-06-11,COVID 19 Positive - last 24H,10
2020-06-12,COVID 19 Positive - last 24H,8
2020-06-13,COVID 19 Positive - last 24H,3
2020-06-14,COVID 19 Positive - last 24H,4
2020-06-15,COVID 19 Positive - last 24H,5
2020-06-16,COVID 19 Positive - last 24H,16
2020-06-18,COVID 19 Positive - last 24H,9
2020-06-19,COVID 19 Positive - last 24H,23
2020-06-20,COVID 19 Positive - last 24H,3
2020-06-21,COVID 19 Positive - last 24H,0
2020-06-22,COVID 19 Positive - last 24H,0
2020-06-23,COVID 19 Positive - last 24H,1
2020-06-24,COVID 19 Positive - last 24H,40
2020-06-25,COVID 19 Positive - last 24H,10
2020-06-26,COVID 19 Positive - last 24H,9
2020-06-27,COVID 19 Positive - last 24H,4
2020-06-28,COVID 19 Positive - last 24H,19
2020-06-29,COVID 19 Positive - last 24H,4
2020-06-30,COVID 19 Positive - last 24H,5
2020-07-01,COVID 19 Positive - last 24H,5
2020-07-02,COVID 19 Positive - last 24H,7
2020-07-03,COVID 19 Positive - last 24H,12
2020-07-04,COVID 19 Positive - last 24H,3
2020-07-05,COVID 19 Positive - last 24H,5
2020-07-06,COVID 19 Positive - last 24H,2
2020-07-07,COVID 19 Positive - last 24H,1
2020-07-08,COVID 19 Positive - last 24H,4
2020-07-09,COVID 19 Positive - last 24H,13
2020-07-10,COVID 19 Positive - last 24H,256
2020-07-11,COVID 19 Positive - last 24H,104
2020-07-12,COVID 19 Positive - last 24H,57
2020-07-13,COVID 19 Positive - last 24H,106
2020-07-14,COVID 19 Positive - last 24H,29
2020-07-15,COVID 19 Positive - last 24H,19
2020-07-16,COVID 19 Positive - last 24H,9
2020-07-17,COVID 19 Positive - last 24H,13
2020-07-18,COVID 19 Positive - last 24H,10
2020-07-19,COVID 19 Positive - last 24H,7
2020-07-20,COVID 19 Positive - last 24H,20
2020-07-21,COVID 19 Positive - last 24H,6
2020-07-22,COVID 19 Positive - last 24H,0
2020-07-23,COVID 19 Positive - last 24H,22
2020-07-24,COVID 19 Positive - last 24H,1
2020-07-25,COVID 19 Positive - last 24H,11
2020-07-26,COVID 19 Positive - last 24H,6
2020-07-27,COVID 19 Positive - last 24H,12
2020-07-28,COVID 19 Positive - last 24H,23
2020-07-29,COVID 19 Positive - last 24H,5
2020-07-30,COVID 19 Positive - last 24H,1
2020-07-31,COVID 19 Positive - last 24H,3
2020-08-01,COVID 19 Positive - last 24H,1
2020-08-02,COVID 19 Positive - last 24H,0
2020-08-03,COVID 19 Positive - last 24H,8
2020-08-04,COVID 19 Positive - last 24H,5
2020-08-05,COVID 19 Positive - last 24H,6
2020-08-06,COVID 19 Positive - last 24H,5
2020-08-07,COVID 19 Positive - last 24H,0
2020-08-08,COVID 19 Positive - last 24H,0
2020-08-09,COVID 19 Positive - last 24H,2
2020-08-10,COVID 19 Positive - last 24H,3
2020-08-11,COVID 19 Positive - last 24H,27
2020-08-12,COVID 19 Positive - last 24H,9
2020-08-13,COVID 19 Positive - last 24H,1
2020-08-14,COVID 19 Positive - last 24H,1
2020-08-15,COVID 19 Positive - last 24H,4
2020-08-16,COVID 19 Positive - last 24H,4
2020-08-17,COVID 19 Positive - last 24H,3
2020-08-18,COVID 19 Positive - last 24H,7
2020-08-19,COVID 19 Positive - last 24H,2
2020-08-20,COVID 19 Positive - last 24H,0
2020-08-21,COVID 19 Positive - last 24H,16
2020-08-22,COVID 19 Positive - last 24H,23
2020-08-23,COVID 19 Positive - last 24H,6
2020-08-24,COVID 19 Positive - last 24H,6
2020-08-25,COVID 19 Positive - last 24H,6
2020-08-26,COVID 19 Positive - last 24H,12
2020-08-27,COVID 19 Positive - last 24H,13
2020-08-28,COVID 19 Positive - last 24H,2
2020-08-29,COVID 19 Positive - last 24H,3
2020-08-30,COVID 19 Positive - last 24H,6
2020-08-31,COVID 19 Positive - last 24H,17
2020-09-01,COVID 19 Positive - last 24H,59
2020-09-02,COVID 19 Positive - last 24H,21
2020-09-03,COVID 19 Positive - last 24H,9
2020-09-04,COVID 19 Positive - last 24H,10
2020-09-05,COVID 19 Positive - last 24H,4
2020-09-06,COVID 19 Positive - last 24H,6
2020-09-07,COVID 19 Positive - last 24H,2
2020-09-08,COVID 19 Positive - last 24H,0
2020-09-09,COVID 19 Positive - last 24H,17
